stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
701,97S,Rudna Wielka dom strażaka 25 nż,,50.0878914516911,21.9410035014153,,,
702,95S,Rudna Wielka zakręt 04 nż,,50.0878217536997,21.9361896067858,,,
610,64B,Boguchwała D. A. Grunwald 01,,49.9838358514494,21.9432029128075,,,
611,58B,Boguchwała 97 nż,,49.9871436553838,21.9496133923531,,,
612,56B,Boguchwała 99 nż,,49.99174,21.95585,,,
880,52B,Podkarpacka / Zwięczycka 11 nż,,49.9967846576516,21.9577404856682,,,
346,50B,Podkarpacka / Nalepy 09 nż,,50.0012449717411,21.9567024707794,,,
347,22B,Podkarpacka kościół 07 nż,,50.0074028698921,21.9624155759811,,,
295,20B,Podkarpacka / Wetlińska 05 nż,,50.0123086261215,21.9689199328423,,,
256,18B,Podkarpacka / Matuszczaka 03,,50.0168019697084,21.9754108786583,,,
257,16B,Podkarpacka politechnika 01,,50.0197455972255,21.9798794388771,,,
175,14B,Dąbrowskiego / Chrobrego 07,,50.0236626859956,21.9867217540741,,,
184,12B,Dąbrowskiego KW. Policji 03,,50.0264645957735,21.9909489154816,,,
185,10B,Dąbrowskiego park 01 nż,,50.0305465444926,21.9950151443481,,,
31,5S,Krakowska szpital 04,,50.0460940573519,21.9818240404129,,,
32,7S,Krakowska galeria 06,,50.04811,21.97628,,,
613,48E,Ofiar Katynia park 03,,50.0500710000289,21.9770658016205,,,
372,24E,Ofiar Katynia kładka 01,,50.0528834244713,21.9785115122795,,,
518,13E,Wyzwolenia / Obr. Poczty Gdańskiej 12,,50.0557783444656,21.9775485992432,,,
519,15E,Wyzwolenia / Krakowska 14 nż,,50.0544936484032,21.9718649983406,,,
161,11S,Krakowska cmentarz 10 nż,,50.0571232776172,21.9627910852432,,,
162,13S,Krakowska / Ceramiczna 12,,50.0594221477565,21.9539853930473,,,
163,15S,Krakowska / Dworzysko 14 nż,,50.0614695131408,21.9450616836548,,,
367,17S,Krakowska granica 16 nż,,50.06426,21.93372,,,
868,201A,Hermanowa Czerwonki pętla 64,,49.9341517850807,22.0518162846565,,,
